Date,Open,High,Low,Close,Change,%Chg,Volume
03/26/2024,2171.59,2198.59,2168.69,2178.01,6.49,+0.30%,5406
03/25/2024,2176.3,2179.28,2164.6,2171.52,6.02,+0.28%,5271
03/22/2024,2181.21,2185.3,2159.42,2165.5,-15.69,-0.72%,5288
03/21/2024,2186,2210.97,2169.36,2181.19,-4.78,-0.22%,5004
03/20/2024,2157.58,2186.8,2151.06,2185.97,28.38,+1.32%,5430
03/19/2024,2160.22,2162.56,2149.44,2157.59,-2.59,-0.12%,5562
03/18/2024,2156.5,2162.23,2146.66,2160.18,4,+0.19%,5434
03/15/2024,2162.12,2171.96,2156.18,2156.18,-5.91,-0.27%,5556
03/14/2024,2174.5,2176.53,2155.01,2162.09,-12.39,-0.57%,5556
03/13/2024,2158.38,2177.7,2156.56,2174.48,16.05,+0.74%,5479
03/12/2024,2182.74,2184.25,2152.51,2158.43,-24.32,-1.11%,5384
03/11/2024,2186.66,2186.66,2176.84,2182.75,3.97,+0.18%,4653
03/08/2024,2159.79,2193.44,2154.74,2178.78,19,+0.88%,5293
03/07/2024,2148.19,2161.63,2145.06,2159.78,11.56,+0.54%,5336
03/06/2024,2127.96,2150.1,2124.31,2148.22,20.32,+0.95%,5396
03/05/2024,2114.69,2135.92,2111.24,2127.9,13.14,+0.62%,5254
03/04/2024,2083.1,2118.76,2079.74,2114.76,30.99,+1.49%,5497
03/01/2024,2044.01,2087.68,2039.52,2083.77,40.05,+1.96%,5514
02/29/2024,2034.69,2049.69,2028.75,2043.72,8.76,+0.43%,5729
02/28/2024,2030.42,2036.44,2025.08,2034.96,4.58,+0.23%,5762
02/27/2024,2031.27,2039.22,2029.37,2030.38,-0.77,-0.04%,5841
02/26/2024,2032.85,2036.38,2026.01,2031.15,-4.88,-0.24%,5589
02/23/2024,2024.51,2040.84,2016.41,2036.03,11.62,+0.57%,5649
02/22/2024,2025.93,2034.11,2020.58,2024.41,-1.09,-0.05%,5631
02/21/2024,2024.11,2031.84,2021.52,2025.5,1.57,+0.08%,5749
02/20/2024,2017.94,2030.32,2015.17,2023.93,5.99,+0.30%,5718
02/19/2024,2013.3,2022.51,2012.97,2017.94,4.29,+0.21%,5265
02/16/2024,2004.13,2014.79,1996.67,2013.65,9.27,+0.46%,5693
02/15/2024,1992.09,2006.97,1990.62,2004.38,12.27,+0.62%,5744
02/14/2024,1992.93,1995.28,1986.16,1992.11,-0.88,-0.04%,5706
02/13/2024,2020.04,2028.9,1991.29,1992.99,-27.11,-1.34%,5678
02/12/2024,2024.7,2026.74,2012.68,2020.1,-4.28,-0.21%,5637
02/09/2024,2034.14,2034.89,2020.91,2024.38,-9.32,-0.46%,5743
02/08/2024,2035.06,2038.37,2021.32,2033.7,-1.35,-0.07%,5574
02/07/2024,2035.9,2042.46,2031.17,2035.05,-0.98,-0.05%,5698
02/06/2024,2024.87,2038.15,2023.74,2036.03,11.17,+0.55%,5571
02/05/2024,2039.1,2041.23,2015.57,2024.86,-14.23,-0.70%,5351
02/02/2024,2054.87,2056.72,2028.99,2039.09,-15.99,-0.78%,5531
02/01/2024,2038.86,2063.81,2031.26,2055.08,16.77,+0.82%,5333
01/31/2024,2036.83,2054.44,2032.63,2038.31,1.74,+0.09%,5477
01/30/2024,2032.14,2047.27,2030.39,2036.57,4.86,+0.24%,5604
01/29/2024,2017.1,2036.75,2017.1,2031.71,13.01,+0.64%,5391
01/26/2024,2020.62,2025.26,2016.42,2018.7,-1.46,-0.07%,5615
01/25/2024,2013.99,2023.9,2013.34,2020.16,7,+0.35%,5497
01/24/2024,2029.18,2035.18,2012.15,2013.16,-15.82,-0.78%,5476
01/23/2024,2021.62,2036.2,2020.13,2028.98,7.67,+0.38%,5458
01/22/2024,2028.85,2031.2,2019.59,2021.31,-8.45,-0.42%,5337
01/19/2024,2023.12,2037.38,2020.75,2029.76,6.72,+0.33%,5491
01/18/2024,2006.34,2023.21,2006.34,2023.04,16.78,+0.84%,5516
01/17/2024,2028.42,2032.14,2002.71,2006.26,-21.93,-1.08%,5348
01/16/2024,2054.76,2055.25,2025.1,2028.19,-26.57,-1.29%,5373
01/15/2024,2049.4,2058.23,2046.47,2054.76,5.66,+0.28%,5098
01/12/2024,2028.72,2060.72,2028.69,2049.1,20.37,+1.00%,5332
01/11/2024,2024.35,2036.75,2014.28,2028.73,4.73,+0.23%,5422
01/10/2024,2030.21,2037.57,2021.03,2024,-6.16,-0.30%,5476
01/09/2024,2028.05,2039.29,2026.95,2030.16,1.98,+0.10%,5418
01/08/2024,2046.25,2046.27,2019.34,2028.18,-17.53,-0.86%,5273
01/05/2024,2043.49,2061.46,2028.93,2045.71,1.96,+0.10%,5325
01/04/2024,2041.4,2050.03,2038.12,2043.75,2.59,+0.13%,5474
01/03/2024,2059.03,2065.41,2031.46,2041.16,-17.88,-0.87%,5339
01/02/2024,2065.88,2078.31,2058.44,2059.04,-6.81,-0.33%,5297
01/01/2024,2066.25,2066.25,2065.78,2065.85,2.91,+0.14%,5
12/29/2023,2065.51,2074.38,2059.95,2062.94,-2.56,-0.12%,5521
12/28/2023,2077.4,2088.26,2065.05,2065.5,-11.97,-0.58%,5483
12/27/2023,2067.7,2083.66,2063.57,2077.47,10.84,+0.52%,5584
12/26/2023,2055.41,2068.68,2053.92,2066.63,11.24,+0.55%,5666
12/25/2023,2055.7,2055.7,2055.33,2055.39,2.18,+0.11%,5
12/22/2023,2045.92,2069.97,2045.9,2053.21,7.26,+0.35%,5369
12/21/2023,2031.21,2045.96,2031.21,2045.95,16.04,+0.79%,5567
12/20/2023,2040.33,2043.07,2028.1,2029.91,-10.58,-0.52%,5553
12/19/2023,2027.24,2046.43,2022.07,2040.49,13.26,+0.65%,5618
12/18/2023,2020.7,2031.12,2016.92,2027.23,8.55,+0.42%,5431
12/15/2023,2036.27,2044.13,2016.68,2018.68,-17.23,-0.85%,5336
12/14/2023,2027.21,2046.78,2025.74,2035.91,8.76,+0.43%,5085
12/13/2023,1979.51,2027.15,1973.95,2027.15,47.63,+2.41%,5564
12/12/2023,1981.82,1991.52,1977.87,1979.52,-2.28,-0.12%,5738
12/11/2023,2004.52,2007.32,1976.8,1981.8,-22.32,-1.11%,5439
12/08/2023,2028.51,2033.43,1996.04,2004.12,-24.57,-1.21%,5362
12/07/2023,2025.46,2038.55,2021.39,2028.69,3.37,+0.17%,5405
12/06/2023,2019.29,2034.54,2017.91,2025.32,5.95,+0.29%,5309
12/05/2023,2029.2,2040.03,2012.27,2019.37,-10.01,-0.49%,5122
12/04/2023,2070.75,2122.65,2022.98,2029.38,-41.94,-2.02%,4560
12/01/2023,2036.21,2073.11,2035.68,2071.32,35.12,+1.72%,5366
11/30/2023,2044.28,2046.65,2033.83,2036.2,-8.1,-0.40%,5469
11/29/2023,2041.12,2049.61,2037.17,2044.3,2.7,+0.13%,5422
11/28/2023,2014.21,2042.31,2012.82,2041.6,27.59,+1.37%,5510
11/27/2023,2003.63,2015.49,2001.37,2014.01,11.73,+0.59%,5400
11/24/2023,1992.82,2002.74,1992.03,2002.28,9.46,+0.47%,5196
11/23/2023,1989.99,1998.14,1989.78,1992.82,2.67,+0.13%,5453
11/22/2023,1998.52,2005.53,1987.9,1990.15,-8.64,-0.43%,5628
11/21/2023,1977.76,2006.55,1977.76,1998.79,21.31,+1.08%,5547
11/20/2023,1980.95,1984.42,1966.26,1977.48,-3.23,-0.16%,5534
11/17/2023,1981.34,1992.91,1979.28,1980.71,-0.55,-0.03%,5683
11/16/2023,1959.49,1987.25,1957.18,1981.26,21.62,+1.10%,5789
11/15/2023,1963.15,1973.48,1957.84,1959.64,-3.47,-0.18%,5738
11/14/2023,1946.14,1968.23,1944.08,1963.11,16.98,+0.87%,5708
11/13/2023,1938.7,1948.05,1933.24,1946.13,8.95,+0.46%,5677
11/10/2023,1958.49,1960.52,1934.37,1937.18,-21.3,-1.09%,5689
11/09/2023,1950.22,1964.73,1945.69,1958.48,8.27,+0.42%,5647
11/08/2023,1969.08,1970.51,1947.98,1950.21,-18.84,-0.96%,5746
11/07/2023,1978.06,1978.2,1957.45,1969.05,-9.24,-0.47%,5766
11/06/2023,1992.62,1992.68,1977.59,1978.29,-14.28,-0.72%,5658
11/03/2023,1985.79,2003.06,1983.56,1992.57,7.04,+0.35%,5713
11/02/2023,1982,1990.39,1980.04,1985.53,4.52,+0.23%,5714
11/01/2023,1983.92,1990.9,1972.6,1981.01,-2.98,-0.15%,5539
10/31/2023,1996.29,2005.8,1980.69,1983.99,-12.34,-0.62%,5568
10/30/2023,2007.03,2007.32,1992.53,1996.33,-9.32,-0.46%,5382
10/27/2023,1984.9,2008.65,1979.59,2005.65,20.83,+1.05%,5515
10/26/2023,1979.71,1992.62,1973.72,1984.82,5.11,+0.26%,5496
10/25/2023,1971.21,1985.11,1969.8,1979.71,8.35,+0.42%,5521
10/24/2023,1972.82,1979.93,1958.12,1971.36,-1.37,-0.07%,5369
10/23/2023,1981.62,1982.28,1965.54,1972.73,-7.76,-0.39%,5288
10/20/2023,1974.24,1996.25,1973.15,1980.49,5.99,+0.30%,5318
10/19/2023,1947.88,1977.43,1945.67,1974.5,26.12,+1.34%,5388
10/18/2023,1923.2,1959.19,1923.2,1948.38,25.34,+1.32%,5470
